game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
Tomb Raider,PC,mature,50,50,0,90,91,70,0,75,70,85,80,2010-sad,50,0,action,shooter,95
Tomb Raider,PS,mature,50,50,0,90,91,70,0,75,70,85,80,2010-sad,0,0,action,shooter,95
Tomb Raider,XBOX,mature,50,50,0,90,91,70,0,75,70,85,80,2010-sad,0,0,action,shooter,95
Rise of the Tomb Raider,PC,mature,50,0,0,70,93,80,0,80,75,90,85,2010-sad,50,0,action,shooter,85
Rise of the Tomb Raider,PS,mature,50,0,0,70,93,80,0,80,75,90,85,2010-sad,0,0,action,shooter,90
Rise of the Tomb Raider,XBOX,mature,50,0,0,70,93,80,0,80,75,90,85,2010-sad,0,0,action,shooter,90
Shadow of the Tomb Raider,PC,mature,50,0,50,50,90,83,50,80,80,90,90,2010-sad,50,0,action,shooter,85
Shadow of the Tomb Raider,PS,mature,50,0,50,50,90,83,50,80,80,90,90,2010-sad,0,0,action,shooter,90
Shadow of the Tomb Raider,XBOX,mature,50,0,50,50,90,83,50,80,80,90,90,2010-sad,0,0,action,shooter,90
Outlast,PC,mature,50,0,0,85,78,45,0,1,40,65,70,2010-sad,0,0,horror,shooter,90
Outlast,PS,mature,50,0,0,85,78,45,0,1,40,65,70,2010-sad,0,0,horror,shooter,100
Outlast,XBOX,mature,50,0,0,85,78,45,0,1,40,65,70,2010-sad,0,0,horror,shooter,100
Outlast 2,PC,mature,50,0,0,82,83,50,50,1,50,70,75,2010-sad,0,0,horror,shooter,93
Outlast 2,PS,mature,50,0,0,82,83,50,50,1,50,70,75,2010-sad,0,0,horror,shooter,100
Outlast 2,XBOX,mature,50,0,0,82,83,50,50,1,50,70,75,2010-sad,0,0,horror,shooter,100
Project CARS,PC,everyone,50,50,0,80,89,98,0,65,30,90,90,2010-sad,50,50,driving,simulation,80
Project CARS,PS,everyone,50,50,0,80,89,98,0,65,30,90,90,2010-sad,0,50,driving,simulation,90
Project CARS,XBOX,everyone,50,50,0,80,89,98,0,65,30,90,90,2010-sad,0,50,driving,simulation,90
Project CARS 2,PC,everyone,50,50,50,70,92,100,50,65,30,95,100,2010-sad,50,50,driving,simulation,84
Project CARS 2,PS,everyone,50,50,50,70,92,100,50,65,30,95,100,2010-sad,0,50,driving,simulation,90
